S.No,CHK_ACCT,Duration,History,Purpose of credit,Credit Amount,Balance in Savings A/C,Employment,Install_rate,Marital status,Co-applicant,Present Resident,Real Estate,Age,Other installment,Residence,Num_Credits,Job,No. dependents,Phone,Foreign,Credit classification
401,no-account,18, duly-till-now, radio-tv,1473, less100DM, one-year,3, married-male, none,4, real-estate,39, none, own,1, skilled,1, no, yes, good.
402,less-200DM,18, critical, business,1887, unknown, four-years,4, married-male, none,4, real-estate,28, bank, own,2, skilled,1, yes, yes, good.
403,no-account,24, delay, business,8648, less100DM, one-year,2, single-male, none,2, car,27, bank, own,2, skilled,1, no, yes, bad.
404,no-account,14, delay, new-car,802, less100DM, four-years,4, single-male, none,2, car,27, none, own,2, unskilled-resident,1, yes, yes, good.
405,less-200DM,18, delay, new-car,2899, unknown, over-seven,4, single-male, none,4, car,43, none, own,1, skilled,2, yes, yes, good.
406,less-200DM,24, duly-till-now, radio-tv,2039, less100DM, one-year,1, married-male, none,1, building-society,22, none, own,1, skilled,1, no, yes, bad.
407,no-account,24, critical, used-car,2197, unknown, seven-years,4, single-male, none,4, car,43, none, own,2, skilled,2, no, yes, good.
408,0DM,15, duly-till-now, radio-tv,1053, less100DM, one-year,4, married-male, none,2, real-estate,27, none, own,1, skilled,1, yes, no, good.
409,no-account,24, duly-till-now, radio-tv,3235, less1000DM, over-seven,3, male-divorced, none,2, car,26, none, own,1, management,1, no, yes, good.
410,over-200DM,12, critical, new-car,939, less1000DM, seven-years,4, married-male, none,2, real-estate,28, none, own,3, skilled,1, no, yes, bad.
411,less-200DM,24, duly-till-now, radio-tv,1967, less100DM, over-seven,4, female-divorced, none,4, car,20, none, own,1, skilled,1, no, yes, good.
412,no-account,33, critical, used-car,7253, less100DM, seven-years,3, single-male, none,2, car,35, none, own,2, management,1, no, yes, good.
413,no-account,12, critical, business,2292, less100DM, unemployed,4, single-male, none,2, car,42, stores, own,2, management,1, no, yes, bad.
414,no-account,10, duly-till-now, new-car,1597, less1000DM, four-years,3, single-male, none,2, none,40, none, rent,1, unskilled-resident,2, yes, no, good.
415,0DM,24, duly-till-now, new-car,1381, unknown, four-years,4, female-divorced, none,2, building-society,35, none, own,1, skilled,1, yes, yes, bad.
416,no-account,36, critical, used-car,5842, less100DM, over-seven,2, single-male, none,2, building-society,35, none, own,2, skilled,2, no, yes, good.
417,0DM,12, duly-till-now, new-car,2579, less100DM, one-year,4, single-male, none,1, real-estate,33, none, own,1, unskilled-resident,2, yes, yes, bad.
418,0DM,18, delay, education,8471, unknown, four-years,1, female-divorced, none,2, car,23, none, rent,2, skilled,1, no, yes, good.
419,no-account,21, duly-till-now, new-car,2782, less1000DM, seven-years,1, female-divorced, none,2, car,31, bank, own,1, management,1, yes, yes, good.
420,less-200DM,18, duly-till-now, new-car,1042, unknown, four-years,4, female-divorced, none,2, building-society,33, none, own,1, skilled,1, yes, yes, bad.
421,no-account,15, duly-till-now, new-car,3186, over1000DM, seven-years,2, female-divorced, none,3, car,20, none, rent,1, skilled,1, yes, yes, good.
422,less-200DM,12, duly-till-now, used-car,2028, unknown, four-years,4, single-male, none,2, car,30, none, own,1, skilled,1, yes, yes, good.
423,less-200DM,12, critical, new-car,958, less100DM, seven-years,2, single-male, none,3, real-estate,47, none, own,2, unskilled-resident,2, yes, yes, good.
424,no-account,21, delay, furniture,1591, less500DM, seven-years,4, single-male, none,3, real-estate,34, none, own,2, management,1, yes, yes, good.
425,less-200DM,12, duly-till-now, furniture,2762, unknown, over-seven,1, female-divorced, none,2, building-society,25, bank, own,1, skilled,1, no, yes, bad.
426,less-200DM,18, duly-till-now, used-car,2779, less100DM, four-years,1, married-male, none,3, car,21, none, rent,1, skilled,1, no, yes, good.
427,no-account,28, critical, radio-tv,2743, less100DM, over-seven,4, single-male, none,2, car,29, none, own,2, skilled,1, yes, yes, good.
428,no-account,18, critical, radio-tv,1149, over1000DM, four-years,4, single-male, none,3, real-estate,46, none, own,2, skilled,1, yes, yes, good.
429,no-account,9, duly-till-now, furniture,1313, less100DM, over-seven,1, single-male, none,4, car,20, none, own,1, skilled,1, yes, yes, good.
430,0DM,18, critical, repairs,1190, less100DM, unemployed,2, female-divorced, none,4, none,55, none, free,3, unemployed-non-resident,2, yes, yes, bad.
431,no-account,5, duly-till-now, business,3448, less100DM, seven-years,1, single-male, none,4, real-estate,74, none, own,1, unskilled-resident,1, yes, yes, good.
432,less-200DM,24, duly-till-now, others,11328, less100DM, four-years,2, single-male, co-applicant,3, car,29, bank, own,2, management,1, no, yes, bad.
433,0DM,6, critical, furniture,1872, less100DM, unemployed,4, single-male, none,4, none,36, none, free,3, management,1, no, yes, good.
434,no-account,24, critical, repairs,2058, less100DM, four-years,4, male-divorced, none,2, real-estate,33, none, own,2, skilled,1, no, yes, good.
435,0DM,9, duly-till-now, furniture,2136, less100DM, four-years,3, single-male, none,2, real-estate,25, none, own,1, skilled,1, yes, yes, good.
436,less-200DM,12, duly-till-now, radio-tv,1484, unknown, four-years,2, married-male, none,1, real-estate,25, none, own,1, skilled,1, no, yes, bad.
437,no-account,6, duly-till-now, repairs,660, less1000DM, seven-years,2, married-male, none,4, real-estate,23, none, rent,1, unskilled-resident,1, yes, yes, good.
438,no-account,24, critical, new-car,1287, over1000DM, over-seven,4, female-divorced, none,4, real-estate,37, none, own,2, skilled,1, no, yes, good.
439,0DM,42, critical, repairs,3394, less100DM, unemployed,4, single-male, co-applicant,4, car,65, none, own,2, unemployed-non-resident,1, yes, yes, good.
440,over-200DM,12, bank-paid-duly, business,609, less100DM, one-year,4, female-divorced, none,1, real-estate,26, none, own,1, unemployed-non-resident,1, yes, yes, bad.
441,no-account,12, duly-till-now, new-car,1884, less100DM, over-seven,4, single-male, none,4, car,39, none, own,1, management,1, no, yes, good.
442,0DM,12, duly-till-now, furniture,1620, less100DM, four-years,2, female-divorced, co-applicant,3, building-society,30, none, own,1, skilled,1, yes, yes, good.
443,less-200DM,20, delay, others,2629, less100DM, four-years,2, single-male, none,3, car,29, bank, own,2, skilled,1, no, yes, good.
444,no-account,12, duly-till-now, education,719, less100DM, over-seven,4, single-male, none,4, car,41, bank, own,1, unskilled-resident,2, yes, yes, bad.
445,less-200DM,48, critical, furniture,5096, less100DM, four-years,2, female-divorced, none,3, car,30, none, own,1, management,1, no, yes, bad.
446,no-account,9, critical, education,1244, unknown, over-seven,4, female-divorced, none,4, building-society,41, none, rent,2, unskilled-resident,1, yes, yes, good.
447,0DM,36, duly-till-now, new-car,1842, less100DM, one-year,4, female-divorced, none,4, car,34, none, own,1, skilled,1, no, yes, bad.
448,less-200DM,7, duly-till-now, radio-tv,2576, less100DM, four-years,2, single-male, guarantor,2, real-estate,35, none, own,1, skilled,1, yes, yes, good.
449,over-200DM,12, duly-till-now, furniture,1424, unknown, over-seven,3, female-divorced, none,4, real-estate,55, none, own,1, management,1, no, yes, good.
450,less-200DM,15, delay, repairs,1512, over1000DM, four-years,3, married-male, none,3, building-society,61, stores, own,2, skilled,1, yes, yes, bad.
451,no-account,36, critical, used-car,11054, unknown, four-years,4, single-male, none,2, car,30, none, own,1, management,1, no, yes, good.
452,no-account,6, duly-till-now, radio-tv,518, less100DM, four-years,3, female-divorced, none,1, real-estate,29, none, own,1, skilled,1, yes, yes, good.
453,no-account,12, all-paid-duly, furniture,2759, less100DM, over-seven,2, single-male, none,4, building-society,34, none, own,2, skilled,1, yes, yes, good.
454,no-account,24, duly-till-now, used-car,2670, less100DM, over-seven,4, single-male, none,4, car,35, none, own,1, management,1, no, yes, good.
455,0DM,24, duly-till-now, new-car,4817, less100DM, seven-years,2, single-male, co-applicant,3, building-society,31, none, own,1, skilled,1, no, yes, bad.
456,no-account,24, duly-till-now, used-car,2679, less100DM, one-year,4, female-divorced, none,1, none,29, none, own,1, management,1, no, yes, good.
457,0DM,11, critical, new-car,3905, less100DM, four-years,2, single-male, none,2, real-estate,36, none, rent,2, skilled,2, yes, yes, good.
458,0DM,12, duly-till-now, used-car,3386, less100DM, over-seven,3, single-male, none,4, none,35, none, free,1, skilled,1, no, yes, bad.
459,0DM,6, duly-till-now, domestic-app,343, less100DM, one-year,4, female-divorced, none,1, real-estate,27, none, own,1, skilled,1, yes, yes, good.
460,no-account,18, duly-till-now, radio-tv,4594, less100DM, one-year,3, single-male, none,2, car,32, none, own,1, skilled,1, no, yes, good.
461,0DM,36, duly-till-now, furniture,3620, less100DM, four-years,1, single-male, guarantor,2, building-society,37, none, own,1, skilled,2, yes, yes, good.
462,0DM,15, duly-till-now, new-car,1721, less100DM, one-year,2, single-male, none,3, real-estate,36, none, own,1, skilled,1, yes, yes, good.
463,less-200DM,12, duly-till-now, furniture,3017, less100DM, one-year,3, female-divorced, none,1, real-estate,34, none, rent,1, management,1, yes, yes, good.
464,less-200DM,12, duly-till-now, retraining,754, unknown, over-seven,4, single-male, none,4, building-society,38, none, own,2, skilled,1, yes, yes, good.
465,no-account,18, duly-till-now, business,1950, less100DM, seven-years,4, single-male, none,1, car,34, stores, own,2, skilled,1, no, yes, good.
466,0DM,24, duly-till-now, used-car,2924, less100DM, four-years,3, single-male, guarantor,4, none,63, bank, own,1, skilled,2, no, yes, good.
467,0DM,24, delay, radio-tv,1659, less100DM, one-year,4, female-divorced, none,2, car,29, none, rent,1, unskilled-resident,1, no, yes, bad.
468,no-account,48, delay, radio-tv,7238, unknown, over-seven,3, single-male, none,3, car,32, bank, own,2, skilled,2, yes, yes, good.
469,no-account,33, delay, business,2764, less100DM, four-years,2, female-divorced, none,2, car,26, none, own,2, skilled,1, no, yes, good.
470,no-account,24, delay, used-car,4679, less100DM, seven-years,3, single-male, none,3, car,35, none, own,2, unskilled-resident,1, no, yes, good.
471,less-200DM,24, duly-till-now, radio-tv,3092, less500DM, one-year,3, married-male, none,2, car,22, none, rent,1, skilled,1, no, yes, bad.
472,0DM,6, duly-till-now, education,448, less100DM, one-year,4, female-divorced, none,4, building-society,23, none, own,1, skilled,1, yes, yes, bad.
473,0DM,9, duly-till-now, new-car,654, less100DM, four-years,4, single-male, none,3, car,28, none, own,1, unskilled-resident,1, yes, yes, bad.
474,no-account,6, duly-till-now, retraining,1238, unknown, unemployed,4, single-male, none,4, building-society,36, none, own,1, management,2, no, yes, good.
475,less-200DM,18, critical, radio-tv,1245, less100DM, four-years,4, married-male, none,2, car,33, none, own,1, skilled,1, yes, yes, bad.
476,0DM,18, all-paid-duly, furniture,3114, less100DM, one-year,1, female-divorced, none,4, building-society,26, none, rent,1, skilled,1, yes, yes, bad.
477,no-account,39, duly-till-now, used-car,2569, less1000DM, four-years,4, single-male, none,4, car,24, none, own,1, skilled,1, yes, yes, good.
478,over-200DM,24, duly-till-now, radio-tv,5152, less100DM, seven-years,4, single-male, none,2, car,25, bank, own,1, skilled,1, yes, yes, good.
479,less-200DM,12, duly-till-now, business,1037, less500DM, seven-years,3, single-male, none,4, real-estate,39, none, own,1, unskilled-resident,1, yes, yes, good.
480,0DM,15, critical, furniture,1478, less100DM, over-seven,4, single-male, none,4, car,44, none, own,2, skilled,2, no, yes, good.
481,less-200DM,12, critical, radio-tv,3573, less100DM, four-years,1, female-divorced, none,1, real-estate,23, none, own,1, unskilled-resident,1, yes, yes, good.
482,less-200DM,24, duly-till-now, new-car,1201, less100DM, one-year,4, single-male, none,1, building-society,26, none, own,1, skilled,1, yes, yes, good.
483,0DM,30, duly-till-now, furniture,3622, over1000DM, over-seven,4, female-divorced, none,4, building-society,57, none, rent,2, skilled,1, no, yes, good.
484,no-account,15, delay, furniture,960, over1000DM, seven-years,3, female-divorced, none,2, building-society,30, none, own,2, skilled,1, yes, yes, good.
485,no-account,12, critical, new-car,1163, less1000DM, four-years,4, single-male, none,4, real-estate,44, none, own,1, skilled,1, no, yes, good.
486,less-200DM,6, delay, new-car,1209, less100DM, unemployed,4, single-male, none,4, building-society,47, none, own,1, management,1, no, yes, bad.
487,no-account,12, duly-till-now, radio-tv,3077, less100DM, four-years,2, single-male, none,4, car,52, none, own,1, skilled,1, no, yes, good.
488,no-account,24, duly-till-now, new-car,3757, less100DM, over-seven,4, female-divorced, co-applicant,4, none,62, none, free,1, skilled,1, no, yes, good.
489,no-account,10, duly-till-now, new-car,1418, less500DM, four-years,3, single-male, none,2, real-estate,35, none, rent,1, unskilled-resident,1, yes, no, good.
490,no-account,6, duly-till-now, new-car,3518, less100DM, four-years,2, single-male, guarantor,3, building-society,26, none, rent,1, skilled,1, yes, yes, good.
491,no-account,12, critical, radio-tv,1934, less100DM, over-seven,2, single-male, none,2, none,26, none, own,2, skilled,1, yes, yes, good.
492,less-200DM,27, all-paid-duly, business,8318, less100DM, over-seven,2, female-divorced, none,4, none,42, none, free,2, management,1, no, yes, bad.
493,no-account,6, critical, radio-tv,1237, less500DM, four-years,1, female-divorced, none,1, building-society,27, none, own,2, skilled,1, yes, yes, good.
494,less-200DM,6, duly-till-now, radio-tv,368, unknown, over-seven,4, single-male, none,4, building-society,38, none, own,1, skilled,1, yes, yes, good.
495,0DM,12, critical, new-car,2122, less100DM, four-years,3, single-male, none,2, real-estate,39, none, rent,2, unskilled-resident,2, yes, no, good.
496,0DM,24, duly-till-now, furniture,2996, unknown, four-years,2, married-male, none,4, car,20, none, own,1, skilled,1, yes, yes, bad.
497,less-200DM,36, duly-till-now, furniture,9034, less500DM, one-year,4, single-male, co-applicant,1, none,29, none, rent,1, management,1, no, yes, bad.
498,no-account,24, critical, furniture,1585, less100DM, seven-years,4, single-male, none,3, building-society,40, none, own,2, skilled,1, yes, yes, good.
499,less-200DM,18, duly-till-now, radio-tv,1301, less100DM, over-seven,4, married-male, guarantor,2, real-estate,32, none, own,1, unskilled-resident,1, yes, yes, good.
500,over-200DM,6, critical, new-car,1323, less500DM, over-seven,2, male-divorced, none,4, car,28, none, own,2, skilled,2, no, yes, good.
501,0DM,24, duly-till-now, new-car,3123, less100DM, one-year,4, female-divorced, none,1, building-society,27, none, own,1, skilled,1, yes, yes, bad.
502,0DM,36, duly-till-now, used-car,5493, less100DM, over-seven,2, single-male, none,4, none,42, none, free,1, skilled,2, yes, yes, good.
503,over-200DM,9, duly-till-now, radio-tv,1126, less500DM, over-seven,2, male-divorced, none,4, real-estate,49, none, own,1, skilled,1, yes, yes, good.
504,less-200DM,24, critical, radio-tv,1216, less500DM, one-year,4, single-male, none,4, none,38, bank, own,2, skilled,2, yes, yes, bad.
505,0DM,24, duly-till-now, new-car,1207, less100DM, one-year,4, female-divorced, none,4, building-society,24, none, rent,1, skilled,1, yes, yes, bad.
506,no-account,10, duly-till-now, new-car,1309, unknown, four-years,4, single-male, guarantor,4, building-society,27, none, own,1, unskilled-resident,1, yes, yes, bad.
507,over-200DM,15, critical, used-car,2360, less1000DM, four-years,2, single-male, none,2, car,36, none, own,1, skilled,1, no, yes, good.
508,less-200DM,15, bank-paid-duly, new-car,6850, less500DM, unemployed,1, single-male, none,2, building-society,34, none, own,1, management,2, no, yes, bad.
509,no-account,24, duly-till-now, radio-tv,1413, less100DM, four-years,4, married-male, none,2, building-society,28, none, own,1, skilled,1, yes, yes, good.
510,no-account,39, duly-till-now, used-car,8588, less500DM, over-seven,4, single-male, none,2, car,45, none, own,1, management,1, no, yes, good.
511,0DM,12, duly-till-now, new-car,759, less100DM, seven-years,4, single-male, none,2, real-estate,26, none, own,1, skilled,1, yes, yes, bad.
512,no-account,36, duly-till-now, used-car,4686, less100DM, four-years,2, single-male, none,2, none,32, none, free,1, management,1, no, yes, good.
513,over-200DM,15, duly-till-now, business,2687, less100DM, seven-years,2, single-male, none,4, building-society,26, none, rent,1, skilled,1, no, yes, good.
514,less-200DM,12, delay, radio-tv,585, less100DM, four-years,4, married-male, co-applicant,4, real-estate,20, none, rent,2, skilled,1, yes, yes, good.
515,no-account,24, duly-till-now, new-car,2255, unknown, one-year,4, single-male, none,1, building-society,54, none, own,1, skilled,1, yes, yes, good.
516,0DM,6, critical, new-car,609, less100DM, seven-years,4, female-divorced, none,3, building-society,37, none, own,2, skilled,1, yes, no, good.
517,0DM,6, critical, new-car,1361, less100DM, one-year,2, single-male, none,4, real-estate,40, none, own,1, unskilled-resident,2, yes, no, good.
518,no-account,36, critical, furniture,7127, less100DM, one-year,2, female-divorced, none,4, building-society,23, none, rent,2, skilled,1, no, yes, bad.
519,0DM,6, duly-till-now, new-car,1203, less500DM, over-seven,3, single-male, none,2, building-society,43, none, own,1, skilled,1, no, yes, good.
520,no-account,6, critical, radio-tv,700, unknown, over-seven,4, single-male, none,4, none,36, none, free,2, skilled,1, yes, yes, good.
521,no-account,24, critical, repairs,5507, less100DM, over-seven,3, single-male, none,4, none,44, none, free,2, skilled,1, yes, yes, good.
522,0DM,18, duly-till-now, radio-tv,3190, less100DM, four-years,2, female-divorced, none,2, real-estate,24, none, own,1, skilled,1, yes, yes, bad.
523,0DM,48, all-paid-duly, furniture,7119, less100DM, four-years,3, single-male, none,4, none,53, none, free,2, skilled,2, yes, yes, bad.
524,no-account,24, duly-till-now, used-car,3488, less500DM, seven-years,3, female-divorced, none,4, car,23, none, own,1, skilled,1, yes, yes, good.
525,less-200DM,18, duly-till-now, radio-tv,1113, less100DM, four-years,4, female-divorced, guarantor,4, real-estate,26, none, own,1, unskilled-resident,2, yes, yes, good.
526,less-200DM,26, duly-till-now, used-car,7966, less100DM, one-year,2, single-male, none,3, car,30, none, own,2, skilled,1, yes, yes, good.
527,no-account,15, critical, education,1532, less500DM, four-years,4, female-divorced, none,3, car,31, none, own,1, skilled,1, yes, yes, good.
528,no-account,4, critical, radio-tv,1503, less100DM, seven-years,2, single-male, none,1, real-estate,42, none, own,2, unskilled-resident,2, yes, yes, good.
529,0DM,36, duly-till-now, radio-tv,2302, less100DM, four-years,4, male-divorced, none,4, car,31, none, rent,1, skilled,1, yes, yes, bad.
530,0DM,6, duly-till-now, new-car,662, less100DM, one-year,3, single-male, none,4, real-estate,41, none, own,1, unskilled-resident,2, no, yes, good.
531,less-200DM,36, duly-till-now, education,2273, less100DM, seven-years,3, single-male, none,1, car,32, none, own,2, skilled,2, yes, yes, good.
532,less-200DM,15, duly-till-now, new-car,2631, less500DM, four-years,2, female-divorced, none,4, car,28, none, rent,2, skilled,1, no, yes, bad.
533,no-account,12, delay, used-car,1503, less100DM, four-years,4, married-male, none,4, real-estate,41, none, rent,1, skilled,1, yes, yes, good.
534,no-account,24, duly-till-now, radio-tv,1311, less500DM, seven-years,4, married-male, none,3, building-society,26, none, own,1, skilled,1, no, yes, good.
535,no-account,24, duly-till-now, radio-tv,3105, unknown, one-year,4, single-male, none,2, car,25, none, own,2, skilled,1, yes, yes, good.
536,over-200DM,21, critical, education,2319, less100DM, one-year,2, male-divorced, none,1, car,33, none, rent,1, skilled,1, yes, yes, bad.
537,0DM,6, duly-till-now, new-car,1374, unknown, unemployed,4, female-divorced, none,3, building-society,75, none, own,1, management,1, no, yes, good.
538,less-200DM,18, critical, furniture,3612, less100DM, over-seven,3, female-divorced, none,4, building-society,37, none, own,1, skilled,1, no, yes, good.
539,0DM,48, duly-till-now, new-car,7763, less100DM, over-seven,4, single-male, none,4, none,42, bank, free,1, management,1, yes, yes, bad.
540,over-200DM,18, duly-till-now, furniture,3049, less100DM, one-year,1, female-divorced, none,1, building-society,45, stores, own,1, unskilled-resident,1, yes, yes, good.
541,less-200DM,12, duly-till-now, radio-tv,1534, less100DM, one-year,1, married-male, none,1, real-estate,23, none, rent,1, skilled,1, yes, yes, bad.
542,no-account,24, delay, new-car,2032, less100DM, over-seven,4, single-male, none,4, none,60, none, free,2, skilled,1, no, yes, good.
543,0DM,30, duly-till-now, furniture,6350, unknown, over-seven,4, single-male, none,4, building-society,31, none, own,1, skilled,1, yes, yes, bad.
544,over-200DM,18, duly-till-now, furniture,2864, less100DM, four-years,2, single-male, none,1, real-estate,34, none, own,1, unskilled-resident,2, yes, yes, bad.
545,no-account,12, critical, new-car,1255, less100DM, over-seven,4, single-male, none,4, real-estate,61, none, own,2, unskilled-resident,1, yes, yes, good.
546,0DM,24, delay, new-car,1333, less100DM, unemployed,4, single-male, none,2, real-estate,43, none, free,2, skilled,2, yes, yes, bad.
547,no-account,24, critical, new-car,2022, less100DM, four-years,4, female-divorced, none,4, car,37, none, own,1, skilled,1, no, yes, good.
548,no-account,24, duly-till-now, radio-tv,1552, less100DM, seven-years,3, single-male, none,1, car,32, bank, own,1, skilled,2, yes, yes, good.
549,0DM,12, bank-paid-duly, radio-tv,626, less100DM, four-years,4, female-divorced, none,4, real-estate,24, bank, own,1, unskilled-resident,1, yes, yes, bad.
550,no-account,48, critical, used-car,8858, unknown, seven-years,2, single-male, none,1, none,35, none, free,2, skilled,1, no, yes, good.
551,no-account,12, critical, repairs,996, unknown, seven-years,4, female-divorced, none,4, real-estate,23, none, own,2, skilled,1, yes, yes, good.
552,no-account,6, bank-paid-duly, radio-tv,1750, less1000DM, over-seven,2, single-male, none,4, building-society,45, bank, own,1, unskilled-resident,2, yes, yes, good.
553,0DM,48, duly-till-now, radio-tv,6999, less100DM, seven-years,1, married-male, guarantor,1, real-estate,34, none, own,2, skilled,1, no, yes, bad.
554,less-200DM,12, critical, new-car,1995, less500DM, one-year,4, single-male, none,1, car,27, none, own,1, skilled,1, yes, yes, good.
555,less-200DM,9, duly-till-now, education,1199, less100DM, seven-years,4, female-divorced, none,4, building-society,67, none, own,2, management,1, no, yes, good.
556,less-200DM,12, duly-till-now, radio-tv,1331, less100DM, one-year,2, single-male, none,1, car,22, stores, own,1, skilled,1, yes, yes, bad.
557,less-200DM,18, all-paid-duly, new-car,2278, less500DM, one-year,3, female-divorced, none,3, car,28, none, own,2, skilled,1, yes, yes, bad.
558,no-account,21, all-paid-duly, new-car,5003, unknown, four-years,1, female-divorced, none,4, building-society,29, bank, own,2, skilled,1, no, yes, bad.
559,0DM,24, bank-paid-duly, furniture,3552, less100DM, seven-years,3, single-male, none,4, car,27, bank, own,1, skilled,1, yes, yes, bad.
560,less-200DM,18, critical, furniture,1928, less100DM, one-year,2, single-male, none,2, real-estate,31, none, own,2, unskilled-resident,1, yes, yes, bad.
561,0DM,24, duly-till-now, used-car,2964, unknown, over-seven,4, single-male, none,4, none,49, bank, free,1, skilled,2, no, yes, good.
562,0DM,24, bank-paid-duly, radio-tv,1546, less100DM, seven-years,4, single-male, guarantor,4, car,24, bank, rent,1, unskilled-resident,1, yes, yes, bad.
563,over-200DM,6, delay, radio-tv,683, less100DM, one-year,2, female-divorced, none,1, building-society,29, bank, own,1, skilled,1, yes, yes, good.
564,less-200DM,36, duly-till-now, new-car,12389, unknown, four-years,1, single-male, none,4, none,37, none, free,1, skilled,1, no, yes, bad.
565,less-200DM,24, delay, business,4712, unknown, four-years,4, single-male, none,2, building-society,37, bank, own,2, management,1, no, yes, good.
566,less-200DM,24, delay, radio-tv,1553, less500DM, seven-years,3, female-divorced, none,2, building-society,23, none, rent,2, skilled,1, no, yes, good.
567,0DM,12, duly-till-now, new-car,1372, less100DM, seven-years,2, male-divorced, none,3, car,36, none, own,1, skilled,1, yes, yes, bad.
568,no-account,24, critical, radio-tv,2578, over1000DM, over-seven,2, single-male, none,2, car,34, none, own,1, skilled,1, yes, yes, good.
569,less-200DM,48, duly-till-now, radio-tv,3979, unknown, seven-years,4, single-male, none,1, car,41, none, own,2, skilled,2, no, yes, good.
570,0DM,48, duly-till-now, radio-tv,6758, less100DM, four-years,3, female-divorced, none,2, car,31, none, own,1, skilled,1, no, yes, bad.
571,0DM,24, duly-till-now, furniture,3234, less100DM, one-year,4, female-divorced, none,4, real-estate,23, none, rent,1, unskilled-resident,1, no, yes, bad.
572,no-account,30, critical, radio-tv,5954, less100DM, seven-years,3, single-male, co-applicant,2, car,38, none, own,1, skilled,1, yes, yes, good.
573,no-account,24, duly-till-now, used-car,5433, unknown, unemployed,2, female-divorced, none,4, building-society,26, none, rent,1, management,1, no, yes, good.
574,0DM,15, duly-till-now, business,806, less100DM, four-years,4, female-divorced, none,4, building-society,22, none, own,1, unskilled-resident,1, yes, yes, good.
575,less-200DM,9, duly-till-now, radio-tv,1082, less100DM, over-seven,4, single-male, none,4, car,27, none, own,2, unskilled-resident,1, yes, yes, good.
576,no-account,15, critical, furniture,2788, less100DM, seven-years,2, female-divorced, co-applicant,3, car,24, bank, own,2, skilled,1, yes, yes, good.
577,less-200DM,12, duly-till-now, radio-tv,2930, less100DM, seven-years,2, female-divorced, none,1, real-estate,27, none, own,1, skilled,1, yes, yes, good.
578,no-account,24, critical, education,1927, unknown, four-years,3, female-divorced, none,2, car,33, none, own,2, skilled,1, no, yes, good.
579,less-200DM,36, critical, new-car,2820, less100DM, one-year,4, male-divorced, none,4, car,27, none, own,2, skilled,1, yes, yes, bad.
580,no-account,24, duly-till-now, retraining,937, less100DM, one-year,4, married-male, none,3, car,27, none, own,2, unskilled-resident,1, yes, yes, good.
581,less-200DM,18, critical, new-car,1056, less100DM, over-seven,3, single-male, guarantor,3, real-estate,30, bank, own,2, skilled,1, yes, yes, bad.
582,less-200DM,12, critical, new-car,3124, less100DM, one-year,1, single-male, none,3, real-estate,49, bank, own,2, unskilled-resident,2, yes, yes, good.
583,no-account,9, duly-till-now, furniture,1388, less100DM, four-years,4, female-divorced, none,2, real-estate,26, none, rent,1, skilled,1, yes, yes, good.
584,less-200DM,36, duly-till-now, repairs,2384, less100DM, one-year,4, single-male, none,1, none,33, none, rent,1, unskilled-resident,1, yes, yes, bad.
585,no-account,12, duly-till-now, new-car,2133, unknown, over-seven,4, female-divorced, none,4, none,52, none, free,1, management,1, no, yes, good.
586,0DM,18, duly-till-now, furniture,2039, less100DM, four-years,1, female-divorced, none,4, real-estate,20, bank, rent,1, skilled,1, yes, yes, bad.
587,0DM,9, critical, new-car,2799, less100DM, four-years,2, single-male, none,2, real-estate,36, none, rent,2, skilled,2, yes, yes, good.
588,0DM,12, duly-till-now, furniture,1289, less100DM, four-years,4, single-male, guarantor,1, building-society,21, none, own,1, unskilled-resident,1, yes, yes, good.
589,0DM,18, duly-till-now, domestic-app,1217, less100DM, four-years,4, married-male, none,3, real-estate,47, none, own,1, unskilled-resident,1, no, yes, bad.
590,0DM,12, critical, furniture,2246, less100DM, over-seven,3, single-male, none,3, building-society,60, none, own,2, skilled,1, yes, yes, bad.
591,0DM,12, critical, radio-tv,385, less100DM, seven-years,4, female-divorced, none,3, real-estate,58, none, own,4, unskilled-resident,1, no, yes, good.
592,less-200DM,24, delay, new-car,1965, unknown, four-years,4, female-divorced, none,4, car,42, none, rent,2, skilled,1, no, yes, good.
593,no-account,21, duly-till-now, business,1572, over1000DM, over-seven,4, female-divorced, none,4, real-estate,36, bank, own,1, unskilled-resident,1, yes, yes, good.
594,less-200DM,24, duly-till-now, new-car,2718, less100DM, four-years,3, female-divorced, none,4, building-society,20, none, rent,1, unskilled-resident,1, no, yes, bad.
595,0DM,24, bank-paid-duly, others,1358, unknown, over-seven,4, single-male, none,3, car,40, stores, own,1, management,1, no, yes, bad.
596,less-200DM,6, bank-paid-duly, new-car,931, less500DM, one-year,1, female-divorced, none,1, building-society,32, stores, own,1, unskilled-resident,1, yes, yes, bad.
597,0DM,24, duly-till-now, new-car,1442, less100DM, seven-years,4, female-divorced, none,4, car,23, none, rent,2, skilled,1, yes, yes, bad.
598,less-200DM,24, all-paid-duly, business,4241, less100DM, four-years,1, single-male, none,4, real-estate,36, none, own,3, unskilled-resident,1, no, yes, bad.
599,no-account,18, critical, new-car,2775, less100DM, seven-years,2, single-male, none,2, building-society,31, bank, own,2, skilled,1, yes, yes, bad.
600,no-account,24, delay, business,3863, less100DM, four-years,1, single-male, none,2, none,32, none, free,1, skilled,1, yes, yes, good.
